S_Name	S_1	S_10	S_11	S_12	S_13	S_14	S_15	S_16	S_17	S_18	S_19	S_2	S_20	S_21	S_22	S_23	S_24	S_25	S_26	S_27	S_28	S_29	S_30	S_31	S_32	S_33	S_34	S_35	S_36	S_37	S_38	S_39	S_4	S_40	S_41	S_42	S_43	S_44	S_45	S_46	S_47	S_48	S_49	S_5	S_50	S_51	S_52	S_53	S_54	S_55	S_56	S_57	S_58	S_59	S_60	S_61	S_62	S_63	S_64	S_65	S_66	S_67	S_68	S_69	S_7	S_70	S_71	S_72	S_8
ASV855	0	0	0	11	12	11	0	30	21	0	17	0	23	26	0	15	14	30	26	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	29	0	0	37	0	0	40	0	12	0	35	31	44	25	0	18	0	0	0	0	0	0	0	0	0	0	0
ASV858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	31	36	0	20	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	36	13	56	45	31	0	35	18	24	0
ASV863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	17	16	11	15	9	10	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	10	28	24	21	0	36	14	14	0
ASV87	45	15	0	0	9	0	0	17	0	0	0	57	0	0	24	0	71	0	0	33	0	0	0	0	0	0	0	0	0	54	36	0	0	0	0	9	13	0	0	26	0	0	0	0	22	23	0	0	35	75	80	0	46	57	0	35	0	27	0	0	0	0	0	0	18	0	0	0	18
ASV874	0	0	0	0	0	0	0	0	0	0	0	0	16	0	14	0	25	0	47	0	29	0	40	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	55	46	55	43	0	0	53	54	0	0
ASV875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	27	29	0	0	0	27	23	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	21	0	0	22	0	0	0	0	0	0	29	0	43	52	65	0	27	0	0	0
ASV879	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	6	0	4	0	8	0	0	7	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	15	16	10	0	0	0	12	10	17	0	11	15	0	15	10	0	0
ASV8834	38	70	78	67	108	65	95	100	77	96	83	43	115	91	43	87	69	118	100	94	182	127	188	132	139	126	122	153	142	88	76	52	72	98	40	28	47	57	57	103	38	44	225	51	79	162	175	108	127	48	53	76	172	73	147	121	72	94	110	126	142	135	173	206	49	157	151	262	54
ASV8847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	9	28	32	16	18	24	27	20	0	19	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	17	0	0	18	0	0	0	0	0	0	23	0	0	33	21	33	17	0	35	0	56	49	54	0
ASV8848	0	0	11	0	12	0	0	20	0	0	0	0	8	0	0	9	0	0	0	0	0	0	18	0	0	0	0	24	13	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	22	25	0	30	26	20	15	46	25	18	18	0	0	18	0	0	18	45	13	0	34	17	0	0
ASV8858	0	0	0	0	0	0	0	18	0	26	17	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0	14	0	0	0	0	15	13	0	0	0	0	0	24	0	0	0	0	21	0	0	0	0	0	0	14	0	21	20	0	22	0	16	0	26	0
ASV8861	0	0	0	42	0	43	36	0	62	85	56	40	0	51	52	0	0	40	0	46	39	0	30	30	0	0	0	0	30	86	80	76	61	0	60	0	0	0	47	0	59	0	69	34	0	65	68	0	80	59	0	56	47	63	59	56	66	64	0	39	0	33	45	0	0	0	76	80	0
ASV8871	0	0	31	0	0	0	0	36	110	36	74	0	0	0	0	0	0	0	0	0	18	20	20	0	15	22	16	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	28	0	0	0	37	0	71	0	35	0	38	0	0	46	44	76	0	25	0	9	0	25	0	10	0	13	0
